id,name,rank,media,episodes,season,members,score
28701,Fate/stay night: Unlimited Blade Works 2nd Season,183,TV,13,Apr2015-Jun2015,521561,8.34
6945,Gintama: Shiroyasha Koutan,184,Special,1,Sep2008-Sep2008,48668,8.34
137,Hunter x Hunter: Original Video Animation,185,OVA,8,Jan2002-Apr2002,93935,8.34
9617,K-On! Movie,186,Movie,1,Dec2011-Dec2011,210839,8.34
4081,Natsume Yuujinchou,187,TV,13,Jul2008-Sep2008,377317,8.34
1210,NHK ni Youkoso!,188,TV,24,Jul2006-Dec2006,503569,8.34
1698,Nodame Cantabile,189,TV,23,Jan2007-Jun2007,245480,8.34
338,Versailles no Bara,190,TV,40,Oct1979-Sep1980,61822,8.34
45,Rurouni Kenshin: Meiji Kenkaku Romantan,191,TV,94,Jan1996-Sep1998,356941,8.33
2418,Stranger: Mukou Hadan,192,Movie,1,Sep2007-Sep2007,238553,8.33
513,Tenkuu no Shiro Laputa,193,Movie,1,Aug1986-Aug1986,297012,8.33
2685,Tsubasa: Tokyo Revelations,194,OVA,3,Nov2007-Mar2008,78604,8.33
37095,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",195,Special,1,Jul2018-Jul2018,141906,8.33
32937,Kono Subarashii Sekai ni Shukufuku wo! 2,196,TV,10,Jan2017-Mar2017,821892,8.33
16894,Kuroko no Basket 2nd Season,197,TV,25,Oct2013-Mar2014,513557,8.33
34534,Natsume Yuujinchou Go Specials,198,Special,2,Mar2017-Apr2017,28714,8.33
57,Beck,199,TV,26,Oct2004-Mar2005,234792,8.32
1365,Detective Conan Movie 06: The Phantom of Baker Street,200,Movie,1,Apr2002-Apr2002,53149,8.32
18115,Magi: The Kingdom of Magic,201,TV,25,Oct2013-Mar2014,562738,8.32
329,Planetes,202,TV,26,Oct2003-Apr2004,181417,8.32
37055,Youjo Senki Movie,203,Movie,1,Feb2019-Feb2019,128999,8.32
30346,Doukyuusei (Movie),204,Movie,1,Feb2016-Feb2016,121660,8.31
30,Neon Genesis Evangelion,205,TV,26,Oct1995-Mar1996,979016,8.31
25537,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,206,Movie,1,Oct2017-Oct2017,218038,8.3
19363,Gin no Saji 2nd Season,207,TV,11,Jan2014-Mar2014,112595,8.3
264,Hajime no Ippo: Champion Road,208,Special,1,Apr2003-Apr2003,89247,8.3
31988,Hibike! Euphonium 2,209,TV,13,Oct2016-Dec2016,146504,8.3
139,Hunter x Hunter: Greed Island Final,210,OVA,14,Mar2004-Aug2004,99765,8.3
43,Koukaku Kidoutai,211,Movie,1,Nov1995-Nov1995,433629,8.3
31812,Kuroshitsuji Movie: Book of the Atlantic,212,Movie,1,Jan2017-Jan2017,114298,8.3
40211,Luo Xiao Hei Zhan Ji (Movie),213,Movie,1,Sep2019-Sep2019,4242,8.3
627,Major S1,214,TV,26,Nov2004-May2005,73457,8.3
31240,Re:Zero kara Hajimeru Isekai Seikatsu,215,TV,25,Apr2016-Sep2016,1236659,8.3
6675,Redline,216,Movie,1,Aug2009-Aug2009,233182,8.3
5690,Nodame Cantabile: Finale,217,TV,11,Jan2010-Mar2010,104318,8.29
2966,Ookami to Koushinryou,218,TV,13,Jan2008-Mar2008,591511,8.29
32282,Shokugeki no Souma: Ni no Sara,219,TV,13,Jul2016-Sep2016,677293,8.29
759,Tokyo Godfathers,220,Movie,1,Nov2003-Nov2003,176156,8.29
4224,Toradora!,221,TV,25,Oct2008-Mar2009,1322486,8.29
23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,222,TV,13,Apr2015-Jun2015,590002,8.29
11843,Danshi Koukousei no Nichijou,223,TV,12,Jan2012-Mar2012,531815,8.29
34036,Detective Conan: Episode One - The Great Detective Turned Small,224,Special,1,Dec2016-Dec2016,19898,8.29
40417,Fruits Basket 2nd Season,225,TV,null,Apr2020-,120234,8.29
40052,Great Pretender,226,ONA,23,Jun2020-,65553,8.29
1842,Major S3,227,TV,26,Jan2007-Jun2007,51751,8.29
2402,Ashita no Joe,228,TV,79,Apr1970-Sep1971,50367,8.28
18617,Girls & Panzer Movie,229,Movie,1,Nov2015-Nov2015,70214,8.28
3002,Gyakkyou Burai Kaiji: Ultimate Survivor,230,TV,26,Oct2007-Apr2008,218727,8.28
1142,Hachimitsu to Clover II,231,TV,12,Jun2006-Sep2006,85710,8.28
185,Initial D First Stage,232,TV,26,Apr1998-Dec1998,193580,8.28
1033,Sennen Joyuu,233,Movie,1,Sep2002-Sep2002,114307,8.28
34798,Yuru Camp△,234,TV,12,Jan2018-Mar2018,248766,8.28
9863,SKET Dance,235,TV,77,Apr2011-Sep2012,170648,8.27
32188,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,236,Special,1,Dec2015-Dec2015,156928,8.27
39533,Given,237,TV,11,Jul2019-Sep2019,155053,8.27
15227,Kono Sekai no Katasumi ni,238,Movie,1,Nov2016-Nov2016,102898,8.27
558,Major S2,239,TV,26,Dec2005-Jun2006,53732,8.27
10800,Chihayafuru,240,TV,25,Oct2011-Mar2012,312884,8.26
5460,Detective Conan Movie 13: The Raven Chaser,241,Movie,1,Apr2009-Apr2009,41133,8.26
9735,Gintama: Shinyaku Benizakura-hen,242,Special,1,Dec2010-Dec2010,28624,8.26
39112,Kawaki wo Ameku,243,Music,1,Jan2019-Jan2019,13605,8.26
512,Majo no Takkyuubin,244,Movie,1,Jul1989-Jul1989,326212,8.26
19815,No Game No Life,245,TV,12,Apr2014-Jun2014,1514079,8.26
30503,Noragami Aragoto,246,TV,13,Oct2015-Dec2015,891408,8.26
23327,Space☆Dandy 2nd Season,247,TV,13,Jul2014-Sep2014,118611,8.26
3091,xxxHOLiC Kei,248,TV,13,Apr2008-Jun2008,109378,8.26
40080,Quanzhi Gaoshou Zhi Dianfeng Rongyao,249,Movie,1,Aug2019-Aug2019,19819,8.25
35466,ReLIFE: Kanketsu-hen,250,Special,4,Mar2018-Mar2018,200046,8.25
32843,Senki Zesshou Symphogear XV,251,TV,13,Jul2019-Sep2019,25191,8.25
6,Trigun,252,TV,26,Apr1998-Sep1998,507478,8.25
7674,Bakuman.,253,TV,25,Oct2010-Apr2011,448121,8.25
10271,Gyakkyou Burai Kaiji: Hakairoku-hen,254,TV,26,Apr2011-Sep2011,124436,8.25
1889,Higurashi no Naku Koro ni Kai,255,TV,24,Jul2007-Dec2007,347025,8.25
